veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
1.06,0.303901437,0,0,0,HBACK,3,F,C,2
1.22,0.854209446,0,0,0,HBACK,3,M,C,4
1,0.492813142,0,0,0,HBACK,2,F,C,4
1.37,0.59137577,0,0,0,HBACK,1,F,B,1
1.3,0.999315537,0,0,0,HBACK,2,F,A,2
1.44,0.030116359,0,0,0,HBACK,2,F,C,1
1.39,0.317590691,0,0,0,HBACK,3,F,C,2
1.62,0.854209446,0,0,0,SEDAN,2,F,B,4
1.05,0.906228611,0,0,0,HBACK,2,F,F,3
4.06,0.851471595,1,1,5434.439987,STNWG,2,M,F,3
1.74,0.854209446,0,0,0,HBACK,2,F,C,3
0.5,0.071184121,1,1,200,HBACK,4,F,A,5
4.64,0.221765914,0,0,0,STNWG,1,F,D,3
1.31,0.317590691,0,0,0,HBACK,2,M,B,2
1.3,0.648870637,0,0,0,HBACK,2,F,C,5
1.56,0.246406571,0,0,0,SEDAN,1,F,D,5
0.67,0.616016427,0,0,0,SEDAN,4,F,C,4
1.39,0.38329911,0,0,0,SEDAN,3,M,C,2
0.65,0.616016427,0,0,0,SEDAN,4,M,A,4
3.98,0.616016427,0,0,0,STNWG,2,F,C,2
7.2,0.616016427,0,0,0,SEDAN,3,F,D,6
3.03,0.752908967,0,0,0,STNWG,1,M,D,3
2.75,0.249144422,0,0,0,STNWG,3,F,B,3
1.66,0.128678987,0,0,0,SEDAN,2,M,F,3
0.41,0.229979466,0,0,0,SEDAN,4,F,E,2
4,0.229979466,0,0,0,STNWG,2,M,C,3
2.01,0.027378508,0,0,0,UTE,3,F,F,3
1.2,0.093086927,0,0,0,HBACK,2,M,C,1
2.95,0.249144422,0,0,0,STNWG,1,F,D,6
0.9,0.224503765,0,0,0,SEDAN,3,F,A,6
1.28,0.605065024,0,0,0,STNWG,4,M,F,4
2.29,0.249144422,0,0,0,SEDAN,1,M,C,3
2.41,0.750171116,1,1,12879.65997,HBACK,1,F,B,3
3.47,0.246406571,1,1,937.2799988,SEDAN,1,M,B,3
1.64,0.689938398,0,0,0,STNWG,3,F,C,4
1,0.224503765,0,0,0,HBACK,3,F,B,2
1.39,0.911704312,0,0,0,HBACK,3,M,B,5
0.48,0.908966461,0,0,0,SEDAN,4,F,C,2
0.62,0.908966461,1,1,367.7299995,STNWG,4,M,C,6
2.16,0.906228611,0,0,0,SEDAN,1,F,A,4
2.2,0.911704312,0,0,0,SEDAN,2,M,D,6
0.89,0.095824778,0,0,0,SEDAN,4,F,E,2
1.71,0.454483231,0,0,0,STNWG,3,M,D,6
0.78,0.303901437,0,0,0,STNWG,4,F,A,4
3.4,0.525667351,0,0,0,STNWG,2,M,C,3
